uid,formula,E_true_Npm,E_pred_Npm,nn_dist_z,gp_sigma,seeds
1LiC12-1,LiC12,681.286381606589,671.1995239257812,1.0080521433328862,40.48016771703645,"6, 68, 6898, 13579, 681998"
1NaC12-1,NaC12,676.3430987646735,674.71875,1.1046735837096369,41.460072744090944,"6, 68, 6898, 13579, 681998"
1O2C3Ta4-1,Ta4C3O2,560.9634559793564,532.5217895507812,1.2272340852122725,38.61545677093577,"6, 68, 6898, 13579, 681998"
1O2C3Nb4-1,Nb4C3O2,539.1920964392051,536.7689819335938,1.1166614335214935,39.51547660141453,"6, 68, 6898, 681998"
1H2N2O2W3-1,W3H2N2O2,511.4925042098795,441.2929992675781,1.246464851637167,46.79994835787496,6898
1O2C3V4-1,V4C3O2,508.7412807077298,514.7420654296875,1.096885918493097,39.52383008343715,"6, 681998"
1S2C3Ta4-1,Ta4C3S2,500.63281718118566,492.7843933105469,1.039582910892913,38.4128024902401,"6, 68, 6898, 13579, 681998"
1O2C3Hf4-1,Hf4C3O2,489.86699554613904,482.1639099121094,1.013676072891731,39.06756603408408,"6, 68, 6898, 13579, 681998"
1S2C3Nb4-1,Nb4C3S2,476.7356893133788,467.998779296875,1.1572070246139363,38.4405076020748,"6, 68, 6898, 13579, 681998"
1O2C3Ti4-1,Ti4C3O2,467.8736021223192,448.66412353515625,0.9265396415136556,40.26747299952801,"6, 68, 6898, 13579, 681998"
1O2C3Zr4-1,Zr4C3O2,451.5724481820614,456.8336486816406,1.0101321817904978,41.56667266615527,"68, 13579, 681998"
1S2C3V4-1,V4C3S2,448.0605795789325,447.87103271484375,1.1147575506259757,45.48825359080716,"13579, 681998"
1H2O2C3Nb4-1,Nb4C3H2O2,440.446617479377,428.3651123046875,1.4500410157798815,46.84545531178212,"13579, 681998"
1H2O2C3Ta4-1,Ta4C3H2O2,439.5239987008175,435.3651123046875,1.169163944490797,39.24468335189029,"6, 6898, 13579, 681998"
1H2O2C3V4-1,V4C3H2O2,439.2299534955828,424.1409912109375,1.1387284928354136,38.98078125444367,"6, 6898, 681998"
1F2C3Nb4-1,Nb4C3F2,430.5977320758128,421.5268859863281,0.6544493212171467,40.89016017666423,"68, 13579, 681998"
1Cl2C3Nb4-1,Nb4C3Cl2,425.17926269861766,412.0966491699219,1.3888784461795969,46.34095472166268,13579
1F2C3V4-1,V4C3F2,424.9890467287927,421.5852966308594,0.9642575855940134,41.354309573482176,"68, 681998"
1H2O2C3Hf4-1,Hf4C3H2O2,424.9185997622976,422.36474609375,1.3830621203901097,42.24990701553738,"68, 6898"
1Cl2C3Ta4-1,Ta4C3Cl2,424.1681410807681,406.5775146484375,1.2398525414192123,38.82549770232122,"6, 68, 6898, 13579, 681998"
1F2C3Ta4-1,Ta4C3F2,414.0776324191429,414.4319458007813,1.3578595335622126,38.45971457635219,"6, 68, 6898, 13579, 681998"
1F2C3Ti4-1,Ti4C3F2,412.8979528029556,410.31243896484375,1.274432380083016,38.56275911852229,"6, 68, 6898, 13579"
1F2C3Hf4-1,Hf4C3F2,410.7502704629976,418.5951843261719,1.4088383708002978,40.78638420135089,"6, 68, 6898, 13579"
1H2O2C3Ti4-1,Ti4C3H2O2,410.425283533004,407.0505065917969,1.2598171698359075,40.36830509870016,"6, 6898, 681998"
1O2N3Hf4-1,Hf4N3O2,409.3658903247582,387.1481323242188,1.4538982982251754,44.83365322880539,68
1S2B3Ta4-1,Ta4B3S2,398.7553080261764,391.5594177246094,0.973455577093064,39.05357558504535,"6, 6898, 13579, 681998"
1H2O2C3Zr4-1,Zr4C3H2O2,396.8641382125363,389.37640380859375,1.421354795609692,41.88732682165985,"6, 6898"
1Cl2C3Ti4-1,Ti4C3Cl2,394.9628048426679,380.5574340820313,1.3037401610196684,38.875825767160805,"6, 6898"
1Cl2C3Hf4-1,Hf4C3Cl2,390.5728235364949,385.75396728515625,1.239153141494256,39.8174969018238,"68, 6898, 13579, 681998"
1H2O2N3Ti4-1,Ti4H2N3O2,386.2985348855223,379.9866027832031,1.320011072513405,42.64752142458436,6
1F2C3Zr4-1,Zr4C3F2,386.2834933067038,379.8658142089844,1.2586419526198462,46.15404677936088,"13579, 681998"
1C2O2Ta3-1,Ta3C2O2,385.7553682824838,402.3067626953125,1.1760893681394693,39.247531703884576,"6, 68, 6898, 13579, 681998"
1H2O2N3Sc4-1,Sc4H2N3O2,368.0038731476061,354.8084716796875,1.279550088453432,44.6404655182602,68
1C2O2Nb3-1,Nb3C2O2,365.7177710956123,384.5994873046875,0.8674141290395498,45.3238146895954,"13579, 681998"
1O2C3W4-1,W4C3O2,364.5591104156333,361.174560546875,1.3654945894467927,39.71506255528594,"6, 68, 6898, 13579, 681998"
2NC3-1,C6N2,363.5858902769813,359.90643310546875,1.2793765322983968,42.229787372502045,"6, 68, 6898, 13579"
1H2S2N3Ti4-1,Ti4H2N3S2,362.9316386271733,342.236083984375,1.4607974278703988,47.1278891523342,6898
1C2O2Hf3-1,Hf3C2O2,361.5697519479604,365.514892578125,1.1011370991000242,46.37321037119721,"13579, 681998"
1H2O2N3Mo4-1,Mo4H2N3O2,361.31064067398427,341.96514892578125,1.1384798061881236,46.00925205868788,"6898, 681998"
1Cl2C3Zr4-1,Zr4C3Cl2,359.9355003847481,376.6784362792969,1.189171574067024,39.057110911152805,"6, 68, 6898, 13579, 681998"
1C2O2V3-1,V3C2O2,342.3995073284507,340.4956359863281,1.362905884644652,39.4633672325914,"6, 681998"
1O2C3Cr4-1,Cr4C3O2,340.9599091448482,338.30035400390625,1.2419808407652908,46.96532396528537,681998
1Cl2N3Sc4-1,Sc4Cl2N3,338.35300534771625,322.5684814453125,1.4461196091245294,51.56336162462654,6898
1C2H2O2W3-1,W3C2H2O2,333.3472142306905,343.6238708496094,1.2538300798216784,48.781401351797086,"6898, 13579, 681998"
2C-1,C2,331.2021053075514,329.0389099121094,1.010502067234022,42.47107805668944,"6, 68, 6898, 13579, 681998"
1C2O2Zr3-1,Zr3C2O2,329.24496342452574,331.2818603515625,1.3414823679971997,40.08407710066993,6
1C2O2Ti3-1,Ti3C2O2,328.7826347322249,331.328369140625,1.0830577541790682,39.76419524213527,"6, 6898, 13579"
1C2S2Ta3-1,Ta3C2S2,317.59792390544305,341.268310546875,0.973266101638752,39.990941789323614,"6, 68, 6898, 13579, 681998"
1C2F2Hf3-1,Hf3C2F2,306.76859406352503,325.2496337890625,1.4645033195853745,42.70557219543832,"68, 13579"
1C2S2Nb3-1,Nb3C2S2,304.94267888755854,321.13922119140625,1.4732227776026707,46.28856820087319,13579
1B3N3C10-1,B3C10N3,293.6601877232781,311.20269775390625,1.2668163210018208,41.74593944929688,"6, 68, 13579, 681998"
1B2S2Ta3-1,Ta3B2S2,281.4259839390983,300.1058349609375,1.4261120162027705,45.02685578650619,6898
